candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,"7.2y Senior Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Zomato, Google). Active and responsive (61% reply rate, 15d notice, open to work)."
CAND_0046525,2,0.994,"6.1y Senior Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Genpact AI, LinkedIn). Active and responsive (88% reply rate, 60d notice, open to work)."
CAND_0002025,3,0.988,"5.9y Senior AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Apple, Aganitha). Active and responsive (80% reply rate, 30d notice, open to work)."
CAND_0071974,4,0.982,"7.8y Senior AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Netflix, Meta). Active and responsive (76% reply rate, 45d notice, open to work)."
CAND_0081846,5,0.976,"6.7y Lead AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Razorpay, Paytm). Active and responsive (73% reply rate, 30d notice, open to work)."
CAND_0077337,6,0.97,"7.0y Staff Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Paytm, Razorpay). Active and responsive (95% reply rate, 60d notice, open to work)."
CAND_0055905,7,0.964,"8.1y Senior Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Flipkart, Uber). Active and responsive (87% reply rate, 30d notice, open to work)."
CAND_0046064,8,0.958,"8.9y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Salesforce, Verloop.io). Active and responsive (78% reply rate, 30d notice, open to work)."
CAND_0011687,9,0.952,"7.8y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Niramai, Krutrim). Active and responsive (89% reply rate, 15d notice, open to work)."
CAND_0008425,10,0.946,"7.8y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Ola, Zomato). Concerns: 90d notice."
CAND_0086022,11,0.94,"5.3y Senior Applied Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Sarvam AI, Uber). Active and responsive (55% reply rate, 0d notice, open to work)."
CAND_0068811,12,0.934,"8.0y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Freshworks, Yellow.ai). Availability moderate (response rate 42%, notice 30d)."
CAND_0079387,13,0.928,"6.9y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Microsoft, upGrad). Active and responsive (81% reply rate, 30d notice, open to work)."
CAND_0041669,14,0.922,"8.0y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (CRED, Mad Street Den). Active and responsive (77% reply rate, 60d notice, open to work)."
CAND_0005260,15,0.916,"5.2y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Netflix, Yellow.ai). Availability moderate (response rate 86%, notice 60d)."
CAND_0009691,16,0.91,"6.2y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (LinkedIn, Amazon). Concerns: 120d notice."
CAND_0052328,17,0.904,"6.5y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Amazon, Observe.AI). Active and responsive (79% reply rate, 30d notice, open to work)."
CAND_0064326,18,0.898,"7.6y Search Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Sarvam AI, Aganitha). Active and responsive (94% reply rate, 45d notice, open to work)."
CAND_0027691,19,0.892,"6.5y NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Haptik, Vedantu). Active and responsive (68% reply rate, 15d notice, open to work)."
CAND_0033861,20,0.886,"8.0y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Mad Street Den, Sarvam AI). Concerns: low response rate (16%); inactive 133d."
CAND_0088025,21,0.88,"8.6y Staff Machine Learning Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Yellow.ai, Niramai). Concerns: 90d notice."
CAND_0075574,22,0.874,"5.7y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Haptik, Observe.AI). Active and responsive (57% reply rate, 60d notice, open to work)."
CAND_0005649,23,0.868,"7.4y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Sarvam AI, Aganitha). Concerns: 90d notice."
CAND_0030031,24,0.862,"5.7y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Microsoft, Amazon). Availability moderate (response rate 94%, notice 30d)."
CAND_0092278,25,0.856,"6.8y Senior NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Microsoft, Paytm). Concerns: 90d notice; low response rate (7%)."
CAND_0081053,26,0.85,"5.4y NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Glance, Salesforce). Concerns: 90d notice."
CAND_0007411,27,0.844,"8.0y Senior Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Amazon, Yellow.ai). Concerns: low response rate (12%); inactive 209d."
CAND_0010149,28,0.838,"6.9y ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Glance, InMobi). Concerns: 90d notice."
CAND_0087630,29,0.832,"7.2y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Vedantu, Haptik). Concerns: inactive 105d."
CAND_0042506,30,0.826,"4.2y Search Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Verloop.io, Meesho). Availability moderate (response rate 48%, notice 15d)."
CAND_0007009,31,0.82,"7.9y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Wysa, PolicyBazaar). Concerns: inactive 102d."
CAND_0066999,32,0.814,"5.9y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Microsoft, Amazon). Active and responsive (63% reply rate, 15d notice, open to work)."
CAND_0041610,33,0.808,"6.7y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Zoho, Observe.AI). Active and responsive (52% reply rate, 30d notice, open to work)."
CAND_0060072,34,0.802,"5.7y Staff Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Amazon, Wysa). Concerns: 90d notice; low response rate (10%)."
CAND_0028793,35,0.796,"7.2y Search Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Google, Amazon). Concerns: 120d notice."
CAND_0077285,36,0.79,"5.5y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Nykaa, Netflix). Active and responsive (56% reply rate, 60d notice, open to work)."
CAND_0075249,37,0.784,"6.2y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Zomato, upGrad). Active and responsive (82% reply rate, 45d notice, open to work)."
CAND_0050876,38,0.778,"6.0y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Freshworks, Yellow.ai). Concerns: 90d notice."
CAND_0081852,39,0.772,"5.9y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Mad Street Den, Nykaa). Availability moderate (response rate 44%, notice 45d)."
CAND_0051004,40,0.766,"4.7y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (CRED, Niramai). Availability moderate (response rate 41%, notice 15d)."
CAND_0091909,41,0.76,"6.9y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Rephrase.ai, Meta). Concerns: inactive 103d."
